,win_rate,algo,step,scenario
34,0.7701179554390564,BPPO,14000000.0,academy_3_vs_1_with_keeper
35,0.7963293397909763,BPPO,14400000.0,academy_3_vs_1_with_keeper
36,0.7537848605577689,BPPO,14800000.0,academy_3_vs_1_with_keeper
37,0.7925907258064516,BPPO,15200000.0,academy_3_vs_1_with_keeper
38,0.7909618783135571,BPPO,15600000.0,academy_3_vs_1_with_keeper
39,0.7391186807245201,BPPO,16000000.0,academy_3_vs_1_with_keeper
40,0.7443835616438356,BPPO,16400000.0,academy_3_vs_1_with_keeper
41,0.8137254901960784,BPPO,16800000.0,academy_3_vs_1_with_keeper
42,0.8111959287531807,BPPO,17200000.0,academy_3_vs_1_with_keeper
43,0.7407024793388429,BPPO,17600000.0,academy_3_vs_1_with_keeper
44,0.7810033104150751,BPPO,18000000.0,academy_3_vs_1_with_keeper
45,0.812454032851189,BPPO,18400000.0,academy_3_vs_1_with_keeper
46,0.7983425414364641,BPPO,18800000.0,academy_3_vs_1_with_keeper
47,0.8102862688015526,BPPO,19200000.0,academy_3_vs_1_with_keeper
48,0.832502965599051,BPPO,19600000.0,academy_3_vs_1_with_keeper
49,0.7998521074685728,BPPO,20000000.0,academy_3_vs_1_with_keeper
0,0.028135431568907965,BPPO,400000.0,academy_3_vs_1_with_keeper
1,0.07755102040816327,BPPO,800000.0,academy_3_vs_1_with_keeper
2,0.1680482290881688,BPPO,1200000.0,academy_3_vs_1_with_keeper
3,0.32192010741859683,BPPO,1600000.0,academy_3_vs_1_with_keeper
4,0.4048747461069736,BPPO,2000000.0,academy_3_vs_1_with_keeper
5,0.5360331632653061,BPPO,2400000.0,academy_3_vs_1_with_keeper
6,0.5018963337547409,BPPO,2800000.0,academy_3_vs_1_with_keeper
7,0.57958423828731,BPPO,3200000.0,academy_3_vs_1_with_keeper
8,0.5738306328339957,BPPO,3600000.0,academy_3_vs_1_with_keeper
9,0.5158371040723982,BPPO,4000000.0,academy_3_vs_1_with_keeper
10,0.6003205128205128,BPPO,4400000.0,academy_3_vs_1_with_keeper
11,0.5845457484642742,BPPO,4800000.0,academy_3_vs_1_with_keeper
12,0.6061179438662883,BPPO,5200000.0,academy_3_vs_1_with_keeper
13,0.612225405921681,BPPO,5600000.0,academy_3_vs_1_with_keeper
14,0.6105066832452596,BPPO,6000000.0,academy_3_vs_1_with_keeper
15,0.6083123425692695,BPPO,6400000.0,academy_3_vs_1_with_keeper
16,0.6052382455033134,BPPO,6800000.0,academy_3_vs_1_with_keeper
17,0.6789689513766842,BPPO,7200000.0,academy_3_vs_1_with_keeper
18,0.6848502816483842,BPPO,7600000.0,academy_3_vs_1_with_keeper
19,0.6569960713206406,BPPO,8000000.0,academy_3_vs_1_with_keeper
20,0.6819262782401903,BPPO,8400000.0,academy_3_vs_1_with_keeper
21,0.6569540402523281,BPPO,8800000.0,academy_3_vs_1_with_keeper
22,0.6745508982035928,BPPO,9200000.0,academy_3_vs_1_with_keeper
23,0.6654578422484134,BPPO,9600000.0,academy_3_vs_1_with_keeper
24,0.6470946151505933,BPPO,10000000.0,academy_3_vs_1_with_keeper
25,0.6625377643504532,BPPO,10400000.0,academy_3_vs_1_with_keeper
26,0.6697885196374622,BPPO,10800000.0,academy_3_vs_1_with_keeper
27,0.7203763598941488,BPPO,11200000.0,academy_3_vs_1_with_keeper
28,0.6631682518858643,BPPO,11600000.0,academy_3_vs_1_with_keeper
29,0.7221083455344071,BPPO,12000000.0,academy_3_vs_1_with_keeper
30,0.6935866983372921,BPPO,12400000.0,academy_3_vs_1_with_keeper
31,0.7234717416378316,BPPO,12800000.0,academy_3_vs_1_with_keeper
32,0.7228881278538812,BPPO,13200000.0,academy_3_vs_1_with_keeper
33,0.7436252771618626,BPPO,13600000.0,academy_3_vs_1_with_keeper
34,0.7384703523345746,BPPO,14000000.0,academy_3_vs_1_with_keeper
35,0.6585292344786016,BPPO,14400000.0,academy_3_vs_1_with_keeper
36,0.711349419124218,BPPO,14800000.0,academy_3_vs_1_with_keeper
37,0.7208136792452831,BPPO,15200000.0,academy_3_vs_1_with_keeper
38,0.7242074927953891,BPPO,15600000.0,academy_3_vs_1_with_keeper
39,0.6905417814508723,BPPO,16000000.0,academy_3_vs_1_with_keeper
40,0.7329612220916569,BPPO,16400000.0,academy_3_vs_1_with_keeper
41,0.7366753097090176,BPPO,16800000.0,academy_3_vs_1_with_keeper
42,0.7385880351573575,BPPO,17200000.0,academy_3_vs_1_with_keeper
43,0.7406679764243614,BPPO,17600000.0,academy_3_vs_1_with_keeper
44,0.7604924454392837,BPPO,18000000.0,academy_3_vs_1_with_keeper
45,0.7341056795705001,BPPO,18400000.0,academy_3_vs_1_with_keeper
46,0.7847797062750334,BPPO,18800000.0,academy_3_vs_1_with_keeper
47,0.7736468015308912,BPPO,19200000.0,academy_3_vs_1_with_keeper
48,0.7320371935756551,BPPO,19600000.0,academy_3_vs_1_with_keeper
49,0.7488864142538976,BPPO,20000000.0,academy_3_vs_1_with_keeper
0,0.0343827671913836,BPPO,400000.0,academy_3_vs_1_with_keeper
1,0.11606535057862491,BPPO,800000.0,academy_3_vs_1_with_keeper
2,0.2682080924855491,BPPO,1200000.0,academy_3_vs_1_with_keeper
3,0.3544438531133582,BPPO,1600000.0,academy_3_vs_1_with_keeper
4,0.43290891283055827,BPPO,2000000.0,academy_3_vs_1_with_keeper
5,0.4493531852575055,BPPO,2400000.0,academy_3_vs_1_with_keeper
6,0.6175541516245487,BPPO,2800000.0,academy_3_vs_1_with_keeper
7,0.6582926261921377,BPPO,3200000.0,academy_3_vs_1_with_keeper
8,0.6935521688159437,BPPO,3600000.0,academy_3_vs_1_with_keeper
9,0.7647434532680434,BPPO,4000000.0,academy_3_vs_1_with_keeper
10,0.7170403587443946,BPPO,4400000.0,academy_3_vs_1_with_keeper
11,0.7270573028866868,BPPO,4800000.0,academy_3_vs_1_with_keeper
12,0.7774719457971628,BPPO,5200000.0,academy_3_vs_1_with_keeper
13,0.6568983957219251,BPPO,5600000.0,academy_3_vs_1_with_keeper
14,0.7101288316303865,BPPO,6000000.0,academy_3_vs_1_with_keeper
15,0.7508650519031141,BPPO,6400000.0,academy_3_vs_1_with_keeper
16,0.7661157024793388,BPPO,6800000.0,academy_3_vs_1_with_keeper
17,0.757840083073728,BPPO,7200000.0,academy_3_vs_1_with_keeper
18,0.7415225690545699,BPPO,7600000.0,academy_3_vs_1_with_keeper
19,0.7327663384064458,BPPO,8000000.0,academy_3_vs_1_with_keeper
20,0.7965459140690817,BPPO,8400000.0,academy_3_vs_1_with_keeper
21,0.8129933211900425,BPPO,8800000.0,academy_3_vs_1_with_keeper
22,0.7888745704467354,BPPO,9200000.0,academy_3_vs_1_with_keeper
23,0.8157358336730534,BPPO,9600000.0,academy_3_vs_1_with_keeper
24,0.7951444622792937,BPPO,10000000.0,academy_3_vs_1_with_keeper
25,0.7880098887515451,BPPO,10400000.0,academy_3_vs_1_with_keeper
26,0.7307778524994396,BPPO,10800000.0,academy_3_vs_1_with_keeper
27,0.8373056994818653,BPPO,11200000.0,academy_3_vs_1_with_keeper
28,0.8548078964126512,BPPO,11600000.0,academy_3_vs_1_with_keeper
29,0.8086650538816802,BPPO,12000000.0,academy_3_vs_1_with_keeper
30,0.7176124802170473,BPPO,12400000.0,academy_3_vs_1_with_keeper
31,0.7851596203623814,BPPO,12800000.0,academy_3_vs_1_with_keeper
32,0.7527226137091608,BPPO,13200000.0,academy_3_vs_1_with_keeper
33,0.7397355601948504,BPPO,13600000.0,academy_3_vs_1_with_keeper
34,0.8209018120522545,BPPO,14000000.0,academy_3_vs_1_with_keeper
35,0.8169014084507042,BPPO,14400000.0,academy_3_vs_1_with_keeper
36,0.7845158682029513,BPPO,14800000.0,academy_3_vs_1_with_keeper
37,0.8662408052651955,BPPO,15200000.0,academy_3_vs_1_with_keeper
38,0.8026639344262295,BPPO,15600000.0,academy_3_vs_1_with_keeper
39,0.7695262483994878,BPPO,16000000.0,academy_3_vs_1_with_keeper
40,0.8185336486777037,BPPO,16400000.0,academy_3_vs_1_with_keeper
41,0.8710184821077468,BPPO,16800000.0,academy_3_vs_1_with_keeper
42,0.7706808605012198,BPPO,17200000.0,academy_3_vs_1_with_keeper
43,0.7822051165949739,BPPO,17600000.0,academy_3_vs_1_with_keeper
44,0.7824933687002652,BPPO,18000000.0,academy_3_vs_1_with_keeper
45,0.832271762208068,BPPO,18400000.0,academy_3_vs_1_with_keeper
46,0.8257075973611406,BPPO,18800000.0,academy_3_vs_1_with_keeper
47,0.8176278563656147,BPPO,19200000.0,academy_3_vs_1_with_keeper
48,0.7559699795314988,BPPO,19600000.0,academy_3_vs_1_with_keeper
49,0.7917362270450752,BPPO,20000000.0,academy_3_vs_1_with_keeper
0,0.02464788732394366,BPPO,400000.0,academy_3_vs_1_with_keeper
1,0.03864734299516908,BPPO,800000.0,academy_3_vs_1_with_keeper
2,0.053621825023518345,BPPO,1200000.0,academy_3_vs_1_with_keeper
3,0.3208974035795311,BPPO,1600000.0,academy_3_vs_1_with_keeper
4,0.4517900285526027,BPPO,2000000.0,academy_3_vs_1_with_keeper
5,0.4202306583373378,BPPO,2400000.0,academy_3_vs_1_with_keeper
6,0.49269827005167377,BPPO,2800000.0,academy_3_vs_1_with_keeper
7,0.49272213773625895,BPPO,3200000.0,academy_3_vs_1_with_keeper
8,0.5107879924953096,BPPO,3600000.0,academy_3_vs_1_with_keeper
9,0.5059064061790095,BPPO,4000000.0,academy_3_vs_1_with_keeper
10,0.5318903983421598,BPPO,4400000.0,academy_3_vs_1_with_keeper
11,0.3997286295793758,BPPO,4800000.0,academy_3_vs_1_with_keeper
12,0.6304253472222222,BPPO,5200000.0,academy_3_vs_1_with_keeper
13,0.6629881154499151,BPPO,5600000.0,academy_3_vs_1_with_keeper
14,0.6396843291995491,BPPO,6000000.0,academy_3_vs_1_with_keeper
15,0.6502103165818021,BPPO,6400000.0,academy_3_vs_1_with_keeper
16,0.7000205044084478,BPPO,6800000.0,academy_3_vs_1_with_keeper
17,0.7143780987281741,BPPO,7200000.0,academy_3_vs_1_with_keeper
18,0.7256619144602852,BPPO,7600000.0,academy_3_vs_1_with_keeper
19,0.6803115015974441,BPPO,8000000.0,academy_3_vs_1_with_keeper
20,0.7242531446540881,BPPO,8400000.0,academy_3_vs_1_with_keeper
21,0.6542563505914292,BPPO,8800000.0,academy_3_vs_1_with_keeper
22,0.6775586854460094,BPPO,9200000.0,academy_3_vs_1_with_keeper
23,0.7207156308851224,BPPO,9600000.0,academy_3_vs_1_with_keeper
24,0.6976071015052103,BPPO,10000000.0,academy_3_vs_1_with_keeper
25,0.7414817749603804,BPPO,10400000.0,academy_3_vs_1_with_keeper
26,0.7602836879432624,BPPO,10800000.0,academy_3_vs_1_with_keeper
27,0.701159114857745,BPPO,11200000.0,academy_3_vs_1_with_keeper
28,0.704516129032258,BPPO,11600000.0,academy_3_vs_1_with_keeper
29,0.7189431067547412,BPPO,12000000.0,academy_3_vs_1_with_keeper
30,0.7381002306563221,BPPO,12400000.0,academy_3_vs_1_with_keeper
31,0.7344389844389845,BPPO,12800000.0,academy_3_vs_1_with_keeper
32,0.7481984764257772,BPPO,13200000.0,academy_3_vs_1_with_keeper
33,0.77222875048962,BPPO,13600000.0,academy_3_vs_1_with_keeper
34,0.7285396889517269,BPPO,14000000.0,academy_3_vs_1_with_keeper
35,0.7477159468438538,BPPO,14400000.0,academy_3_vs_1_with_keeper
36,0.7678858520900321,BPPO,14800000.0,academy_3_vs_1_with_keeper
37,0.743883495145631,BPPO,15200000.0,academy_3_vs_1_with_keeper
38,0.7469855702708045,BPPO,15600000.0,academy_3_vs_1_with_keeper
39,0.7626369402267922,BPPO,16000000.0,academy_3_vs_1_with_keeper
40,0.77645477242174,BPPO,16400000.0,academy_3_vs_1_with_keeper
41,0.7956147220046985,BPPO,16800000.0,academy_3_vs_1_with_keeper
42,0.7546125461254612,BPPO,17200000.0,academy_3_vs_1_with_keeper
43,0.7930245854774156,BPPO,17600000.0,academy_3_vs_1_with_keeper
44,0.7926640926640927,BPPO,18000000.0,academy_3_vs_1_with_keeper
45,0.8031704095112285,BPPO,18400000.0,academy_3_vs_1_with_keeper
46,0.8019395747855278,BPPO,18800000.0,academy_3_vs_1_with_keeper
47,0.7852268165395424,BPPO,19200000.0,academy_3_vs_1_with_keeper
48,0.7925984563625569,BPPO,19600000.0,academy_3_vs_1_with_keeper
49,0.7884246837868916,BPPO,20000000.0,academy_3_vs_1_with_keeper
0,0.028890959925442685,ARMAPPO,400000.0,academy_3_vs_1_with_keeper
1,0.09498787388843978,ARMAPPO,800000.0,academy_3_vs_1_with_keeper
2,0.3016383850204798,ARMAPPO,1200000.0,academy_3_vs_1_with_keeper
3,0.39047873763038243,ARMAPPO,1600000.0,academy_3_vs_1_with_keeper
4,0.45163890381515315,ARMAPPO,2000000.0,academy_3_vs_1_with_keeper
5,0.45329883570504526,ARMAPPO,2400000.0,academy_3_vs_1_with_keeper
6,0.5033377837116155,ARMAPPO,2800000.0,academy_3_vs_1_with_keeper
7,0.5285975450509272,ARMAPPO,3200000.0,academy_3_vs_1_with_keeper
8,0.5450777202072539,ARMAPPO,3600000.0,academy_3_vs_1_with_keeper
9,0.5555811277330265,ARMAPPO,4000000.0,academy_3_vs_1_with_keeper
10,0.5680500811500115,ARMAPPO,4400000.0,academy_3_vs_1_with_keeper
11,0.5788061703554661,ARMAPPO,4800000.0,academy_3_vs_1_with_keeper
12,0.5776297657326597,ARMAPPO,5200000.0,academy_3_vs_1_with_keeper
13,0.6142313184198,ARMAPPO,5600000.0,academy_3_vs_1_with_keeper
14,0.6338389731621937,ARMAPPO,6000000.0,academy_3_vs_1_with_keeper
15,0.6599318955732123,ARMAPPO,6400000.0,academy_3_vs_1_with_keeper
16,0.5983263598326359,ARMAPPO,6800000.0,academy_3_vs_1_with_keeper
17,0.5948489351163943,ARMAPPO,7200000.0,academy_3_vs_1_with_keeper
18,0.6312573443008226,ARMAPPO,7600000.0,academy_3_vs_1_with_keeper
19,0.6438452520515826,ARMAPPO,8000000.0,academy_3_vs_1_with_keeper
20,0.6228157763354968,ARMAPPO,8400000.0,academy_3_vs_1_with_keeper
21,0.6384892086330936,ARMAPPO,8800000.0,academy_3_vs_1_with_keeper
22,0.5512367491166078,ARMAPPO,9200000.0,academy_3_vs_1_with_keeper
23,0.6157234089407619,ARMAPPO,9600000.0,academy_3_vs_1_with_keeper
24,0.6733023667330237,ARMAPPO,10000000.0,academy_3_vs_1_with_keeper
25,0.6168478260869565,ARMAPPO,10400000.0,academy_3_vs_1_with_keeper
26,0.5078730317420644,ARMAPPO,10800000.0,academy_3_vs_1_with_keeper
27,0.6146439767129422,ARMAPPO,11200000.0,academy_3_vs_1_with_keeper
28,0.6650268336314848,ARMAPPO,11600000.0,academy_3_vs_1_with_keeper
29,0.5468028203257963,ARMAPPO,12000000.0,academy_3_vs_1_with_keeper
30,0.6374204869488923,ARMAPPO,12400000.0,academy_3_vs_1_with_keeper
31,0.6254416961130742,ARMAPPO,12800000.0,academy_3_vs_1_with_keeper
32,0.6140914709517923,ARMAPPO,13200000.0,academy_3_vs_1_with_keeper
