,eval_win_rate,algo,step,scenario
13,0.18,BPPO,5600000.0,academy_counterattack_hard
14,0.31,BPPO,6000000.0,academy_counterattack_hard
15,0.33,BPPO,6400000.0,academy_counterattack_hard
16,0.36,BPPO,6800000.0,academy_counterattack_hard
17,0.41,BPPO,7200000.0,academy_counterattack_hard
18,0.23,BPPO,7600000.0,academy_counterattack_hard
19,0.36,BPPO,8000000.0,academy_counterattack_hard
20,0.38,BPPO,8400000.0,academy_counterattack_hard
21,0.39,BPPO,8800000.0,academy_counterattack_hard
22,0.21,BPPO,9200000.0,academy_counterattack_hard
23,0.4,BPPO,9600000.0,academy_counterattack_hard
24,0.49,BPPO,10000000.0,academy_counterattack_hard
25,0.36,BPPO,10400000.0,academy_counterattack_hard
26,0.4,BPPO,10800000.0,academy_counterattack_hard
27,0.47,BPPO,11200000.0,academy_counterattack_hard
28,0.46,BPPO,11600000.0,academy_counterattack_hard
29,0.51,BPPO,12000000.0,academy_counterattack_hard
30,0.47,BPPO,12400000.0,academy_counterattack_hard
31,0.49,BPPO,12800000.0,academy_counterattack_hard
32,0.42,BPPO,13200000.0,academy_counterattack_hard
33,0.44,BPPO,13600000.0,academy_counterattack_hard
34,0.52,BPPO,14000000.0,academy_counterattack_hard
35,0.49,BPPO,14400000.0,academy_counterattack_hard
36,0.45,BPPO,14800000.0,academy_counterattack_hard
37,0.4,BPPO,15200000.0,academy_counterattack_hard
38,0.5,BPPO,15600000.0,academy_counterattack_hard
39,0.58,BPPO,16000000.0,academy_counterattack_hard
40,0.47,BPPO,16400000.0,academy_counterattack_hard
41,0.58,BPPO,16800000.0,academy_counterattack_hard
42,0.48,BPPO,17200000.0,academy_counterattack_hard
43,0.54,BPPO,17600000.0,academy_counterattack_hard
44,0.49,BPPO,18000000.0,academy_counterattack_hard
45,0.6,BPPO,18400000.0,academy_counterattack_hard
46,0.58,BPPO,18800000.0,academy_counterattack_hard
47,0.46,BPPO,19200000.0,academy_counterattack_hard
48,0.56,BPPO,19600000.0,academy_counterattack_hard
49,0.47,BPPO,20000000.0,academy_counterattack_hard
0,0.0,BPPO,400000.0,academy_counterattack_hard
1,0.0,BPPO,800000.0,academy_counterattack_hard
2,0.0,BPPO,1200000.0,academy_counterattack_hard
3,0.01,BPPO,1600000.0,academy_counterattack_hard
4,0.01,BPPO,2000000.0,academy_counterattack_hard
5,0.01,BPPO,2400000.0,academy_counterattack_hard
6,0.03,BPPO,2800000.0,academy_counterattack_hard
7,0.04,BPPO,3200000.0,academy_counterattack_hard
8,0.01,BPPO,3600000.0,academy_counterattack_hard
9,0.02,BPPO,4000000.0,academy_counterattack_hard
10,0.01,BPPO,4400000.0,academy_counterattack_hard
11,0.0,BPPO,4800000.0,academy_counterattack_hard
12,0.01,BPPO,5200000.0,academy_counterattack_hard
13,0.05,BPPO,5600000.0,academy_counterattack_hard
14,0.01,BPPO,6000000.0,academy_counterattack_hard
15,0.07,BPPO,6400000.0,academy_counterattack_hard
16,0.15,BPPO,6800000.0,academy_counterattack_hard
17,0.3,BPPO,7200000.0,academy_counterattack_hard
18,0.38,BPPO,7600000.0,academy_counterattack_hard
19,0.4,BPPO,8000000.0,academy_counterattack_hard
20,0.36,BPPO,8400000.0,academy_counterattack_hard
21,0.47,BPPO,8800000.0,academy_counterattack_hard
22,0.43,BPPO,9200000.0,academy_counterattack_hard
23,0.52,BPPO,9600000.0,academy_counterattack_hard
24,0.45,BPPO,10000000.0,academy_counterattack_hard
25,0.55,BPPO,10400000.0,academy_counterattack_hard
26,0.68,BPPO,10800000.0,academy_counterattack_hard
27,0.55,BPPO,11200000.0,academy_counterattack_hard
28,0.52,BPPO,11600000.0,academy_counterattack_hard
29,0.59,BPPO,12000000.0,academy_counterattack_hard
30,0.57,BPPO,12400000.0,academy_counterattack_hard
31,0.6,BPPO,12800000.0,academy_counterattack_hard
32,0.68,BPPO,13200000.0,academy_counterattack_hard
33,0.65,BPPO,13600000.0,academy_counterattack_hard
34,0.63,BPPO,14000000.0,academy_counterattack_hard
35,0.63,BPPO,14400000.0,academy_counterattack_hard
36,0.59,BPPO,14800000.0,academy_counterattack_hard
37,0.61,BPPO,15200000.0,academy_counterattack_hard
38,0.7,BPPO,15600000.0,academy_counterattack_hard
