,average_episode_rewards,algo,step,scenario
43,-0.6480000447481871,BPPO,17600000.0,5_vs_5
44,-0.6240000016987324,BPPO,18000000.0,5_vs_5
45,-0.535999983549118,BPPO,18400000.0,5_vs_5
46,-0.19400001037865877,BPPO,18800000.0,5_vs_5
47,-0.2199999988079071,BPPO,19200000.0,5_vs_5
48,-0.3819999983534217,BPPO,19600000.0,5_vs_5
49,-0.4879999440163374,BPPO,20000000.0,5_vs_5
0,-0.4780000075697899,BPPO,400000.0,5_vs_5
1,-0.39400001987814903,BPPO,800000.0,5_vs_5
2,-0.6159999873489141,BPPO,1200000.0,5_vs_5
3,-0.5159999709576368,BPPO,1600000.0,5_vs_5
4,-0.5039999727159739,BPPO,2000000.0,5_vs_5
5,-0.23400001227855682,BPPO,2400000.0,5_vs_5
6,-0.22400000598281622,BPPO,2800000.0,5_vs_5
7,-0.14600001741200686,BPPO,3200000.0,5_vs_5
8,-0.19600000232458115,BPPO,3600000.0,5_vs_5
9,-0.21399999968707561,BPPO,4000000.0,5_vs_5
10,-0.09000001009553671,BPPO,4400000.0,5_vs_5
11,-0.26400000788271427,BPPO,4800000.0,5_vs_5
12,-0.43799998238682747,BPPO,5200000.0,5_vs_5
13,-0.06800000555813313,BPPO,5600000.0,5_vs_5
14,-0.1739999745041132,BPPO,6000000.0,5_vs_5
15,-0.2759999828413129,BPPO,6400000.0,5_vs_5
16,-0.5100000184029341,BPPO,6800000.0,5_vs_5
17,-0.4459999967366457,BPPO,7200000.0,5_vs_5
18,-0.13599999947473407,BPPO,7600000.0,5_vs_5
19,0.026000005891546607,BPPO,8000000.0,5_vs_5
20,-0.279999990016222,BPPO,8400000.0,5_vs_5
21,-0.3839999670162797,BPPO,8800000.0,5_vs_5
22,-0.08200000738725066,BPPO,9200000.0,5_vs_5
23,-0.16399999149143696,BPPO,9600000.0,5_vs_5
24,-0.2199999988079071,BPPO,10000000.0,5_vs_5
25,-0.6420000456273556,BPPO,10400000.0,5_vs_5
26,-0.42200004681944847,BPPO,10800000.0,5_vs_5
27,-0.3179999999701977,BPPO,11200000.0,5_vs_5
28,-0.30200001783668995,BPPO,11600000.0,5_vs_5
29,-0.3820000449195504,BPPO,12000000.0,5_vs_5
30,-0.5420000292360783,BPPO,12400000.0,5_vs_5
31,-0.2579999854788184,BPPO,12800000.0,5_vs_5
32,0.01999999803956598,BPPO,13200000.0,5_vs_5
33,-0.0859999970998615,BPPO,13600000.0,5_vs_5
34,-0.5220000632107258,BPPO,14000000.0,5_vs_5
35,-0.3700000001117587,BPPO,14400000.0,5_vs_5
36,-0.10999999940395355,BPPO,14800000.0,5_vs_5
37,-0.19199998350813985,BPPO,15200000.0,5_vs_5
38,-0.5420000292360783,BPPO,15600000.0,5_vs_5
39,-0.1779999933205545,BPPO,16000000.0,5_vs_5
40,-0.1459999824874103,BPPO,16400000.0,5_vs_5
41,-0.021999998716637492,BPPO,16800000.0,5_vs_5
42,-0.3460000269114971,BPPO,17200000.0,5_vs_5
43,-0.107999995816499,BPPO,17600000.0,5_vs_5
44,-0.43000001460313797,BPPO,18000000.0,5_vs_5
45,0.04400000034365803,BPPO,18400000.0,5_vs_5
46,-0.3459999803453684,BPPO,18800000.0,5_vs_5
47,-0.5640000104904175,BPPO,19200000.0,5_vs_5
48,0.062000000616535544,BPPO,19600000.0,5_vs_5
49,-0.10000000474974513,BPPO,20000000.0,5_vs_5
0,-0.5420000292360783,BPPO,400000.0,5_vs_5
1,-0.7919999770820141,BPPO,800000.0,5_vs_5
2,-0.713999941945076,BPPO,1200000.0,5_vs_5
3,-0.5499999970197678,BPPO,1600000.0,5_vs_5
4,-0.7860000245273113,BPPO,2000000.0,5_vs_5
5,-0.6180000491440296,BPPO,2400000.0,5_vs_5
6,-0.7279999554157257,BPPO,2800000.0,5_vs_5
7,-0.3680000314489007,BPPO,3200000.0,5_vs_5
8,-0.6780000403523445,BPPO,3600000.0,5_vs_5
9,-0.3700000001117587,BPPO,4000000.0,5_vs_5
10,-0.41600000113248825,BPPO,4400000.0,5_vs_5
11,-0.3459999803453684,BPPO,4800000.0,5_vs_5
12,-0.3779999911785126,BPPO,5200000.0,5_vs_5
13,-0.7459999993443489,BPPO,5600000.0,5_vs_5
14,-0.19799999427050352,BPPO,6000000.0,5_vs_5
15,-0.28200000524520874,BPPO,6400000.0,5_vs_5
16,-0.418000016361475,BPPO,6800000.0,5_vs_5
17,-0.31399999279528856,BPPO,7200000.0,5_vs_5
18,-0.4399999976158142,BPPO,7600000.0,5_vs_5
19,0.11999998241662979,BPPO,8000000.0,5_vs_5
