,eval_win_rate,algo,step,scenario
45,0.74,BPPO,18400000.0,academy_3_vs_1_with_keeper
46,0.62,BPPO,18800000.0,academy_3_vs_1_with_keeper
47,0.45,BPPO,19200000.0,academy_3_vs_1_with_keeper
48,0.61,BPPO,19600000.0,academy_3_vs_1_with_keeper
49,0.75,BPPO,20000000.0,academy_3_vs_1_with_keeper
0,0.02,BPPO,400000.0,academy_3_vs_1_with_keeper
1,0.05,BPPO,800000.0,academy_3_vs_1_with_keeper
2,0.05,BPPO,1200000.0,academy_3_vs_1_with_keeper
3,0.32,BPPO,1600000.0,academy_3_vs_1_with_keeper
4,0.42,BPPO,2000000.0,academy_3_vs_1_with_keeper
5,0.32,BPPO,2400000.0,academy_3_vs_1_with_keeper
6,0.29,BPPO,2800000.0,academy_3_vs_1_with_keeper
7,0.43,BPPO,3200000.0,academy_3_vs_1_with_keeper
8,0.42,BPPO,3600000.0,academy_3_vs_1_with_keeper
9,0.51,BPPO,4000000.0,academy_3_vs_1_with_keeper
10,0.51,BPPO,4400000.0,academy_3_vs_1_with_keeper
11,0.33,BPPO,4800000.0,academy_3_vs_1_with_keeper
12,0.43,BPPO,5200000.0,academy_3_vs_1_with_keeper
13,0.63,BPPO,5600000.0,academy_3_vs_1_with_keeper
14,0.63,BPPO,6000000.0,academy_3_vs_1_with_keeper
15,0.69,BPPO,6400000.0,academy_3_vs_1_with_keeper
16,0.57,BPPO,6800000.0,academy_3_vs_1_with_keeper
17,0.66,BPPO,7200000.0,academy_3_vs_1_with_keeper
18,0.64,BPPO,7600000.0,academy_3_vs_1_with_keeper
19,0.66,BPPO,8000000.0,academy_3_vs_1_with_keeper
20,0.7,BPPO,8400000.0,academy_3_vs_1_with_keeper
21,0.58,BPPO,8800000.0,academy_3_vs_1_with_keeper
22,0.66,BPPO,9200000.0,academy_3_vs_1_with_keeper
23,0.63,BPPO,9600000.0,academy_3_vs_1_with_keeper
24,0.72,BPPO,10000000.0,academy_3_vs_1_with_keeper
25,0.72,BPPO,10400000.0,academy_3_vs_1_with_keeper
26,0.65,BPPO,10800000.0,academy_3_vs_1_with_keeper
27,0.64,BPPO,11200000.0,academy_3_vs_1_with_keeper
28,0.66,BPPO,11600000.0,academy_3_vs_1_with_keeper
29,0.64,BPPO,12000000.0,academy_3_vs_1_with_keeper
30,0.71,BPPO,12400000.0,academy_3_vs_1_with_keeper
31,0.69,BPPO,12800000.0,academy_3_vs_1_with_keeper
32,0.72,BPPO,13200000.0,academy_3_vs_1_with_keeper
33,0.62,BPPO,13600000.0,academy_3_vs_1_with_keeper
34,0.6,BPPO,14000000.0,academy_3_vs_1_with_keeper
