,eval_win_rate,algo,step,scenario
0,0.0,MACPF,10000.0,10gen_protoss 5v5
1,0.0125,MACPF,260000.0,10gen_protoss 5v5
2,0.04125,MACPF,510000.0,10gen_protoss 5v5
3,0.051750000000000004,MACPF,760000.0,10gen_protoss 5v5
4,0.06015000000000001,MACPF,1010000.0,10gen_protoss 5v5
5,0.06687000000000001,MACPF,1260000.0,10gen_protoss 5v5
6,0.07224600000000002,MACPF,1510000.0,10gen_protoss 5v5
7,0.12029680000000001,MACPF,1760000.0,10gen_protoss 5v5
8,0.13373744,MACPF,2010000.0,10gen_protoss 5v5
9,0.169489952,MACPF,2260000.0,10gen_protoss 5v5
10,0.21059196160000002,MACPF,2510000.0,10gen_protoss 5v5
11,0.22472356928,MACPF,2760000.0,10gen_protoss 5v5
12,0.229778855424,MACPF,3010000.0,10gen_protoss 5v5
13,0.2525730843392,MACPF,3260000.0,10gen_protoss 5v5
14,0.22705846747136002,MACPF,3510000.0,10gen_protoss 5v5
15,0.24414677397708803,MACPF,3760000.0,10gen_protoss 5v5
16,0.23906741918167046,MACPF,4010000.0,10gen_protoss 5v5
17,0.2600039353453364,MACPF,4260000.0,10gen_protoss 5v5
18,0.25800314827626913,MACPF,4510000.0,10gen_protoss 5v5
19,0.2751525186210153,MACPF,4760000.0,10gen_protoss 5v5
20,0.27012201489681226,MACPF,5010000.0,10gen_protoss 5v5
21,0.2473476119174498,MACPF,5260000.0,10gen_protoss 5v5
22,0.24162808953395987,MACPF,5510000.0,10gen_protoss 5v5
23,0.2495524716271679,MACPF,5760000.0,10gen_protoss 5v5
24,0.25589197730173435,MACPF,6010000.0,10gen_protoss 5v5
25,0.2547135818413875,MACPF,6260000.0,10gen_protoss 5v5
26,0.26002086547311,MACPF,6510000.0,10gen_protoss 5v5
27,0.264266692378488,MACPF,6760000.0,10gen_protoss 5v5
28,0.2489133539027904,MACPF,7010000.0,10gen_protoss 5v5
29,0.24913068312223235,MACPF,7260000.0,10gen_protoss 5v5
30,0.24930454649778588,MACPF,7510000.0,10gen_protoss 5v5
31,0.25569363719822874,MACPF,7760000.0,10gen_protoss 5v5
32,0.235804909758583,MACPF,8010000.0,10gen_protoss 5v5
33,0.23864392780686644,MACPF,8260000.0,10gen_protoss 5v5
34,0.25341514224549316,MACPF,8510000.0,10gen_protoss 5v5
35,0.28398211379639454,MACPF,8760000.0,10gen_protoss 5v5
