,eval_win_rate,algo,step,scenario
0,0.0,MACPF,10000.0,10gen_protoss 10v10
1,0.018750000000000003,MACPF,260000.0,10gen_protoss 10v10
2,0.021250000000000005,MACPF,510000.0,10gen_protoss 10v10
3,0.035750000000000004,MACPF,760000.0,10gen_protoss 10v10
4,0.041100000000000005,MACPF,1010000.0,10gen_protoss 10v10
5,0.05788000000000001,MACPF,1260000.0,10gen_protoss 10v10
6,0.05880400000000001,MACPF,1510000.0,10gen_protoss 10v10
7,0.06579320000000001,MACPF,1760000.0,10gen_protoss 10v10
8,0.09638456000000001,MACPF,2010000.0,10gen_protoss 10v10
9,0.11460764800000002,MACPF,2260000.0,10gen_protoss 10v10
10,0.11043611840000002,MACPF,2510000.0,10gen_protoss 10v10
11,0.09459889472000002,MACPF,2760000.0,10gen_protoss 10v10
12,0.11942911577600002,MACPF,3010000.0,10gen_protoss 10v10
13,0.12054329262080002,MACPF,3260000.0,10gen_protoss 10v10
14,0.12768463409664002,MACPF,3510000.0,10gen_protoss 10v10
15,0.11464770727731202,MACPF,3760000.0,10gen_protoss 10v10
16,0.13546816582184962,MACPF,4010000.0,10gen_protoss 10v10
17,0.1396245326574797,MACPF,4260000.0,10gen_protoss 10v10
18,0.16169962612598376,MACPF,4510000.0,10gen_protoss 10v10
19,0.148109700900787,MACPF,4760000.0,10gen_protoss 10v10
20,0.1372377607206296,MACPF,5010000.0,10gen_protoss 10v10
21,0.13479020857650367,MACPF,5260000.0,10gen_protoss 10v10
22,0.11408216686120295,MACPF,5510000.0,10gen_protoss 10v10
23,0.09751573348896238,MACPF,5760000.0,10gen_protoss 10v10
24,0.1030125867911699,MACPF,6010000.0,10gen_protoss 10v10
25,0.10116006943293593,MACPF,6260000.0,10gen_protoss 10v10
26,0.08717805554634875,MACPF,6510000.0,10gen_protoss 10v10
27,0.125992444437079,MACPF,6760000.0,10gen_protoss 10v10
28,0.1320439555496632,MACPF,7010000.0,10gen_protoss 10v10
29,0.14313516443973057,MACPF,7260000.0,10gen_protoss 10v10
30,0.14575813155178446,MACPF,7510000.0,10gen_protoss 10v10
31,0.14160650524142757,MACPF,7760000.0,10gen_protoss 10v10
32,0.13203520419314208,MACPF,8010000.0,10gen_protoss 10v10
33,0.13687816335451367,MACPF,8260000.0,10gen_protoss 10v10
34,0.11575253068361094,MACPF,8510000.0,10gen_protoss 10v10
35,0.11760202454688876,MACPF,8760000.0,10gen_protoss 10v10
36,0.13158161963751103,MACPF,9010000.0,10gen_protoss 10v10
37,0.14276529571000884,MACPF,9260000.0,10gen_protoss 10v10
38,0.14546223656800708,MACPF,9510000.0,10gen_protoss 10v10
39,0.12886978925440568,MACPF,9760000.0,10gen_protoss 10v10
0,0.0,MACPF,10000.0,10gen_protoss 10v10
1,0.018750000000000003,MACPF,260000.0,10gen_protoss 10v10
2,0.021250000000000005,MACPF,510000.0,10gen_protoss 10v10
3,0.023250000000000007,MACPF,760000.0,10gen_protoss 10v10
4,0.031100000000000006,MACPF,1010000.0,10gen_protoss 10v10
5,0.03738000000000001,MACPF,1260000.0,10gen_protoss 10v10
6,0.03615400000000001,MACPF,1510000.0,10gen_protoss 10v10
7,0.04767320000000001,MACPF,1760000.0,10gen_protoss 10v10
8,0.05688856000000002,MACPF,2010000.0,10gen_protoss 10v10
9,0.05801084800000002,MACPF,2260000.0,10gen_protoss 10v10
10,0.046408678400000014,MACPF,2510000.0,10gen_protoss 10v10
11,0.05587694272000002,MACPF,2760000.0,10gen_protoss 10v10
12,0.05720155417600002,MACPF,3010000.0,10gen_protoss 10v10
13,0.07076124334080003,MACPF,3260000.0,10gen_protoss 10v10
14,0.08160899467264002,MACPF,3510000.0,10gen_protoss 10v10
15,0.10278719573811203,MACPF,3760000.0,10gen_protoss 10v10
16,0.10097975659048963,MACPF,4010000.0,10gen_protoss 10v10
17,0.1057838052723917,MACPF,4260000.0,10gen_protoss 10v10
18,0.10962704421791336,MACPF,4510000.0,10gen_protoss 10v10
19,0.11895163537433069,MACPF,4760000.0,10gen_protoss 10v10
20,0.11391130829946457,MACPF,5010000.0,10gen_protoss 10v10
21,0.13487904663957168,MACPF,5260000.0,10gen_protoss 10v10
22,0.13915323731165735,MACPF,5510000.0,10gen_protoss 10v10
23,0.11757258984932589,MACPF,5760000.0,10gen_protoss 10v10
