,eval_win_rate,algo,step,scenario
0,0.0,MACPF,10000.0,10gen_zerg 10v10
1,0.00625,MACPF,260000.0,10gen_zerg 10v10
2,0.023750000000000004,MACPF,510000.0,10gen_zerg 10v10
3,0.06275,MACPF,760000.0,10gen_zerg 10v10
4,0.0752,MACPF,1010000.0,10gen_zerg 10v10
5,0.09141,MACPF,1260000.0,10gen_zerg 10v10
6,0.10437800000000001,MACPF,1510000.0,10gen_zerg 10v10
7,0.10850240000000003,MACPF,1760000.0,10gen_zerg 10v10
8,0.11805192000000003,MACPF,2010000.0,10gen_zerg 10v10
9,0.11319153600000004,MACPF,2260000.0,10gen_zerg 10v10
10,0.14680322880000005,MACPF,2510000.0,10gen_zerg 10v10
11,0.16744258304000004,MACPF,2760000.0,10gen_zerg 10v10
12,0.14645406643200004,MACPF,3010000.0,10gen_zerg 10v10
13,0.14841325314560005,MACPF,3260000.0,10gen_zerg 10v10
14,0.14373060251648004,MACPF,3510000.0,10gen_zerg 10v10
15,0.13373448201318405,MACPF,3760000.0,10gen_zerg 10v10
16,0.14448758561054725,MACPF,4010000.0,10gen_zerg 10v10
17,0.1530900684884378,MACPF,4260000.0,10gen_zerg 10v10
18,0.15997205479075027,MACPF,4510000.0,10gen_zerg 10v10
19,0.1592276438326002,MACPF,4760000.0,10gen_zerg 10v10
20,0.15238211506608018,MACPF,5010000.0,10gen_zerg 10v10
21,0.15940569205286415,MACPF,5260000.0,10gen_zerg 10v10
22,0.13377455364229132,MACPF,5510000.0,10gen_zerg 10v10
23,0.13201964291383306,MACPF,5760000.0,10gen_zerg 10v10
24,0.13686571433106645,MACPF,6010000.0,10gen_zerg 10v10
25,0.15949257146485318,MACPF,6260000.0,10gen_zerg 10v10
26,0.15259405717188254,MACPF,6510000.0,10gen_zerg 10v10
27,0.17832524573750605,MACPF,6760000.0,10gen_zerg 10v10
28,0.18016019659000485,MACPF,7010000.0,10gen_zerg 10v10
29,0.16912815727200387,MACPF,7260000.0,10gen_zerg 10v10
30,0.14780252581760311,MACPF,7510000.0,10gen_zerg 10v10
31,0.1307420206540825,MACPF,7760000.0,10gen_zerg 10v10
32,0.14209361652326602,MACPF,8010000.0,10gen_zerg 10v10
33,0.15742489321861283,MACPF,8260000.0,10gen_zerg 10v10
34,0.15718991457489026,MACPF,8510000.0,10gen_zerg 10v10
35,0.16325193165991222,MACPF,8760000.0,10gen_zerg 10v10
36,0.18060154532792977,MACPF,9010000.0,10gen_zerg 10v10
37,0.18823123626234384,MACPF,9260000.0,10gen_zerg 10v10
38,0.1630849890098751,MACPF,9510000.0,10gen_zerg 10v10
39,0.18046799120790008,MACPF,9760000.0,10gen_zerg 10v10
0,0.0,MACPF,10000.0,10gen_zerg 10v10
1,0.025,MACPF,260000.0,10gen_zerg 10v10
2,0.03875000000000001,MACPF,510000.0,10gen_zerg 10v10
3,0.05600000000000001,MACPF,760000.0,10gen_zerg 10v10
4,0.0698,MACPF,1010000.0,10gen_zerg 10v10
5,0.07459,MACPF,1260000.0,10gen_zerg 10v10
6,0.090922,MACPF,1510000.0,10gen_zerg 10v10
7,0.1039876,MACPF,1760000.0,10gen_zerg 10v10
8,0.13944008,MACPF,2010000.0,10gen_zerg 10v10
9,0.167802064,MACPF,2260000.0,10gen_zerg 10v10
10,0.1592416512,MACPF,2510000.0,10gen_zerg 10v10
11,0.18989332096,MACPF,2760000.0,10gen_zerg 10v10
12,0.189414656768,MACPF,3010000.0,10gen_zerg 10v10
13,0.18278172541440002,MACPF,3260000.0,10gen_zerg 10v10
14,0.18997538033152003,MACPF,3510000.0,10gen_zerg 10v10
15,0.16448030426521604,MACPF,3760000.0,10gen_zerg 10v10
16,0.16283424341217284,MACPF,4010000.0,10gen_zerg 10v10
17,0.18651739472973827,MACPF,4260000.0,10gen_zerg 10v10
18,0.2054639157837906,MACPF,4510000.0,10gen_zerg 10v10
19,0.1956211326270325,MACPF,4760000.0,10gen_zerg 10v10
20,0.20649690610162602,MACPF,5010000.0,10gen_zerg 10v10
21,0.21519752488130084,MACPF,5260000.0,10gen_zerg 10v10
22,0.24090801990504068,MACPF,5510000.0,10gen_zerg 10v10
23,0.2614764159240326,MACPF,5760000.0,10gen_zerg 10v10
24,0.2404311327392261,MACPF,6010000.0,10gen_zerg 10v10
25,0.2235949061913809,MACPF,6260000.0,10gen_zerg 10v10
26,0.22887592495310471,MACPF,6510000.0,10gen_zerg 10v10
27,0.20185073996248376,MACPF,6760000.0,10gen_zerg 10v10
28,0.19273059196998701,MACPF,7010000.0,10gen_zerg 10v10
29,0.19168447357598964,MACPF,7260000.0,10gen_zerg 10v10
30,0.21584757886079173,MACPF,7510000.0,10gen_zerg 10v10
31,0.2539280630886334,MACPF,7760000.0,10gen_zerg 10v10
32,0.25939245047090675,MACPF,8010000.0,10gen_zerg 10v10
33,0.24501396037672543,MACPF,8260000.0,10gen_zerg 10v10
34,0.23976116830138036,MACPF,8510000.0,10gen_zerg 10v10
35,0.2418089346411043,MACPF,8760000.0,10gen_zerg 10v10
36,0.21844714771288345,MACPF,9010000.0,10gen_zerg 10v10
37,0.25600771817030676,MACPF,9260000.0,10gen_zerg 10v10
38,0.2923061745362454,MACPF,9510000.0,10gen_zerg 10v10
39,0.29009493962899635,MACPF,9760000.0,10gen_zerg 10v10
0,0.0,MAPPO_FULL,10000.0,10gen_zerg 10v10
1,0.00625,MAPPO_FULL,260000.0,10gen_zerg 10v10
2,0.036250000000000004,MAPPO_FULL,510000.0,10gen_zerg 10v10
3,0.035250000000000004,MAPPO_FULL,760000.0,10gen_zerg 10v10
4,0.05945,MAPPO_FULL,1010000.0,10gen_zerg 10v10
5,0.053810000000000004,MAPPO_FULL,1260000.0,10gen_zerg 10v10
6,0.068048,MAPPO_FULL,1510000.0,10gen_zerg 10v10
7,0.0731884,MAPPO_FULL,1760000.0,10gen_zerg 10v10
8,0.10855072,MAPPO_FULL,2010000.0,10gen_zerg 10v10
9,0.12434057600000001,MAPPO_FULL,2260000.0,10gen_zerg 10v10
10,0.13697246080000003,MAPPO_FULL,2510000.0,10gen_zerg 10v10
11,0.15957796864,MAPPO_FULL,2760000.0,10gen_zerg 10v10
12,0.16516237491200003,MAPPO_FULL,3010000.0,10gen_zerg 10v10
13,0.20712989992960004,MAPPO_FULL,3260000.0,10gen_zerg 10v10
14,0.21570391994368004,MAPPO_FULL,3510000.0,10gen_zerg 10v10
15,0.22256313595494404,MAPPO_FULL,3760000.0,10gen_zerg 10v10
16,0.23430050876395522,MAPPO_FULL,4010000.0,10gen_zerg 10v10
17,0.2624404070111642,MAPPO_FULL,4260000.0,10gen_zerg 10v10
18,0.2974523256089314,MAPPO_FULL,4510000.0,10gen_zerg 10v10
19,0.31296186048714514,MAPPO_FULL,4760000.0,10gen_zerg 10v10
20,0.33786948838971614,MAPPO_FULL,5010000.0,10gen_zerg 10v10
21,0.35779559071177297,MAPPO_FULL,5260000.0,10gen_zerg 10v10
22,0.39873647256941835,MAPPO_FULL,5510000.0,10gen_zerg 10v10
23,0.36273917805553474,MAPPO_FULL,5760000.0,10gen_zerg 10v10
24,0.3714413424444278,MAPPO_FULL,6010000.0,10gen_zerg 10v10
25,0.3659030739555422,MAPPO_FULL,6260000.0,10gen_zerg 10v10
