,eval_average_episode_rewards,train_episode_rewards,algo,step,scenario
0,998.419989039111,13.61143026117523,MAPPO_FULL,4000.0,Ant-v2 2x4d
1,931.1978502914995,221.23800510946603,MAPPO_FULL,104000.0,Ant-v2 2x4d
2,889.5768170332,365.02322853257846,MAPPO_FULL,204000.0,Ant-v2 2x4d
3,821.8649499249022,300.60069678844246,MAPPO_FULL,304000.0,Ant-v2 2x4d
4,975.2598885129358,381.654495921192,MAPPO_FULL,404000.0,Ant-v2 2x4d
5,939.6376716425766,292.73227282433953,MAPPO_FULL,504000.0,Ant-v2 2x4d
6,950.6363415745367,273.10688635143856,MAPPO_FULL,604000.0,Ant-v2 2x4d
7,918.1457237104405,266.5734116777303,MAPPO_FULL,704000.0,Ant-v2 2x4d
8,1106.9787623285679,220.34782801605945,MAPPO_FULL,804000.0,Ant-v2 2x4d
9,870.6665960548141,553.930729926399,MAPPO_FULL,904000.0,Ant-v2 2x4d
10,850.563301625669,474.55531113245564,MAPPO_FULL,1004000.0,Ant-v2 2x4d
11,838.5027758009097,440.5625674197005,MAPPO_FULL,1104000.0,Ant-v2 2x4d
12,831.194619822974,460.8112621517324,MAPPO_FULL,1204000.0,Ant-v2 2x4d
13,881.0637708687666,499.6099076700826,MAPPO_FULL,1304000.0,Ant-v2 2x4d
14,860.2327436249213,448.4006688604527,MAPPO_FULL,1404000.0,Ant-v2 2x4d
15,709.6833955155931,474.0240089179696,MAPPO_FULL,1504000.0,Ant-v2 2x4d
16,1281.481039267747,708.8760698418155,MAPPO_FULL,1604000.0,Ant-v2 2x4d
17,806.683254556985,564.7404075649563,MAPPO_FULL,1704000.0,Ant-v2 2x4d
18,1365.689067090239,830.0729535582544,MAPPO_FULL,1804000.0,Ant-v2 2x4d
19,1664.7191183293494,906.32173910749,MAPPO_FULL,1904000.0,Ant-v2 2x4d
20,1594.1053975646203,860.0056767849068,MAPPO_FULL,2004000.0,Ant-v2 2x4d
21,2237.8336656054835,884.2040745935858,MAPPO_FULL,2104000.0,Ant-v2 2x4d
22,2258.144630431994,815.8522330700263,MAPPO_FULL,2204000.0,Ant-v2 2x4d
23,1960.2837983696859,1301.6408266987683,MAPPO_FULL,2304000.0,Ant-v2 2x4d
24,2231.667206865344,1216.3306867623542,MAPPO_FULL,2404000.0,Ant-v2 2x4d
25,1825.4023261602983,872.158589786081,MAPPO_FULL,2504000.0,Ant-v2 2x4d
26,2610.3395325303163,843.2764298136447,MAPPO_FULL,2604000.0,Ant-v2 2x4d
27,2845.4056381530113,1423.2184915262962,MAPPO_FULL,2704000.0,Ant-v2 2x4d
28,2870.3897466348594,1187.1907279164036,MAPPO_FULL,2804000.0,Ant-v2 2x4d
29,2591.1983889974945,1968.326023362095,MAPPO_FULL,2904000.0,Ant-v2 2x4d
30,2983.6847500417443,1626.5784624553987,MAPPO_FULL,3004000.0,Ant-v2 2x4d
31,3527.83800594928,1408.7542424170376,MAPPO_FULL,3104000.0,Ant-v2 2x4d
32,3188.11608733836,2114.59278519421,MAPPO_FULL,3204000.0,Ant-v2 2x4d
33,3589.897899155871,1356.123690173811,MAPPO_FULL,3304000.0,Ant-v2 2x4d
34,3638.8286020910227,1927.1285939284164,MAPPO_FULL,3404000.0,Ant-v2 2x4d
35,3675.275355097993,1516.2888891888608,MAPPO_FULL,3504000.0,Ant-v2 2x4d
36,3505.4022404956318,1864.7989630424734,MAPPO_FULL,3604000.0,Ant-v2 2x4d
37,3564.7400081558526,1550.65726458727,MAPPO_FULL,3704000.0,Ant-v2 2x4d
38,2926.1868735420526,1865.1708778715602,MAPPO_FULL,3804000.0,Ant-v2 2x4d
39,3081.9279820129223,1779.3096508210256,MAPPO_FULL,3904000.0,Ant-v2 2x4d
40,3651.9778983585056,2017.2659699901442,MAPPO_FULL,4004000.0,Ant-v2 2x4d
41,3528.0640440395755,1384.3538055979188,MAPPO_FULL,4104000.0,Ant-v2 2x4d
42,3601.113114727728,1950.659715491048,MAPPO_FULL,4204000.0,Ant-v2 2x4d
43,3964.3248292140693,1861.3789369892456,MAPPO_FULL,4304000.0,Ant-v2 2x4d
44,3917.4989973491984,2332.747523483058,MAPPO_FULL,4404000.0,Ant-v2 2x4d
45,4259.869982973882,2494.759969339494,MAPPO_FULL,4504000.0,Ant-v2 2x4d
46,4140.8218555842495,2802.2254396198123,MAPPO_FULL,4604000.0,Ant-v2 2x4d
47,3841.553012566633,1970.2135582541562,MAPPO_FULL,4704000.0,Ant-v2 2x4d
48,3457.0483867186913,3075.0644692051596,MAPPO_FULL,4804000.0,Ant-v2 2x4d
49,3784.378755027211,2154.167511367279,MAPPO_FULL,4904000.0,Ant-v2 2x4d
50,4181.644264008408,2360.416671640591,MAPPO_FULL,5004000.0,Ant-v2 2x4d
51,4350.308939635509,1921.5504429810742,MAPPO_FULL,5104000.0,Ant-v2 2x4d
52,3568.1883622803934,2242.6588926960253,MAPPO_FULL,5204000.0,Ant-v2 2x4d
53,4384.328729745496,2260.6090490252004,MAPPO_FULL,5304000.0,Ant-v2 2x4d
54,3604.036814752659,2747.5698812926844,MAPPO_FULL,5404000.0,Ant-v2 2x4d
55,4125.547631278549,3400.6934010658474,MAPPO_FULL,5504000.0,Ant-v2 2x4d
56,4302.2500628519,2876.7611155156364,MAPPO_FULL,5604000.0,Ant-v2 2x4d
57,4598.584469186377,3182.289956778012,MAPPO_FULL,5704000.0,Ant-v2 2x4d
58,4434.73506660167,2803.256788501207,MAPPO_FULL,5804000.0,Ant-v2 2x4d
59,4478.657147203016,3781.6082488593656,MAPPO_FULL,5904000.0,Ant-v2 2x4d
60,4295.6694028919665,3103.8747093981015,MAPPO_FULL,6004000.0,Ant-v2 2x4d
61,4530.325451944355,3659.0061073160123,MAPPO_FULL,6104000.0,Ant-v2 2x4d
62,4655.88315412061,3511.954897749175,MAPPO_FULL,6204000.0,Ant-v2 2x4d
63,4471.8624413592715,3816.1569302881935,MAPPO_FULL,6304000.0,Ant-v2 2x4d
64,4291.840621882012,3597.1216219282696,MAPPO_FULL,6404000.0,Ant-v2 2x4d
65,4427.944687097059,3701.792655375563,MAPPO_FULL,6504000.0,Ant-v2 2x4d
66,4671.700163253269,3650.9015660533146,MAPPO_FULL,6704000.0,Ant-v2 2x4d
67,4536.9282440394645,3787.281642176057,MAPPO_FULL,6804000.0,Ant-v2 2x4d
68,4416.71654889719,3646.0621591487998,MAPPO_FULL,6904000.0,Ant-v2 2x4d
69,4568.670665773673,3790.679323124806,MAPPO_FULL,7004000.0,Ant-v2 2x4d
70,4610.048381786914,2596.087897028212,MAPPO_FULL,7104000.0,Ant-v2 2x4d
71,4656.093948200282,3546.1621038727376,MAPPO_FULL,7204000.0,Ant-v2 2x4d
72,3879.941100084872,3864.350715499426,MAPPO_FULL,7304000.0,Ant-v2 2x4d
73,4483.074573277106,2401.781817181511,MAPPO_FULL,7404000.0,Ant-v2 2x4d
74,4718.1320879051245,3871.8018561199756,MAPPO_FULL,7504000.0,Ant-v2 2x4d
75,4514.667304136208,3992.994280653471,MAPPO_FULL,7604000.0,Ant-v2 2x4d
76,4752.064723258316,3934.61044126146,MAPPO_FULL,7704000.0,Ant-v2 2x4d
77,4728.589457909717,4026.201610983011,MAPPO_FULL,7804000.0,Ant-v2 2x4d
78,4644.953165675388,3836.238043407128,MAPPO_FULL,7904000.0,Ant-v2 2x4d
79,4737.298377065701,3777.5159598448345,MAPPO_FULL,8004000.0,Ant-v2 2x4d
80,4735.71536065981,4155.779777272988,MAPPO_FULL,8104000.0,Ant-v2 2x4d
81,4641.6758677363,3150.9455804561844,MAPPO_FULL,8204000.0,Ant-v2 2x4d
82,4717.974182150537,3831.298007371935,MAPPO_FULL,8304000.0,Ant-v2 2x4d
83,4666.584976602009,2828.0547975183363,MAPPO_FULL,8404000.0,Ant-v2 2x4d
84,4721.287389346406,3966.4101890030847,MAPPO_FULL,8504000.0,Ant-v2 2x4d
85,4540.376315372712,2659.43120965839,MAPPO_FULL,8604000.0,Ant-v2 2x4d
86,4738.348739410289,2800.8782418747073,MAPPO_FULL,8704000.0,Ant-v2 2x4d
87,4781.601109025436,4274.874771533851,MAPPO_FULL,8804000.0,Ant-v2 2x4d
88,4811.139468980475,3635.737553648219,MAPPO_FULL,8904000.0,Ant-v2 2x4d
89,4629.756313124533,3973.380651127794,MAPPO_FULL,9004000.0,Ant-v2 2x4d
90,4885.125285663994,4067.978614950353,MAPPO_FULL,9104000.0,Ant-v2 2x4d
91,4843.7741729056015,2862.265390214148,MAPPO_FULL,9204000.0,Ant-v2 2x4d
92,4941.655662638765,3161.299110479698,MAPPO_FULL,9304000.0,Ant-v2 2x4d
93,5056.882541381863,4265.29648610785,MAPPO_FULL,9404000.0,Ant-v2 2x4d
94,4893.610241773141,4214.508386057707,MAPPO_FULL,9504000.0,Ant-v2 2x4d
95,4961.717259447174,4182.466062460928,MAPPO_FULL,9604000.0,Ant-v2 2x4d
96,4863.7803912546715,2662.3276976144634,MAPPO_FULL,9704000.0,Ant-v2 2x4d
97,4779.682897351027,3330.714018002338,MAPPO_FULL,9804000.0,Ant-v2 2x4d
98,4836.265721464353,3538.715129356474,MAPPO_FULL,9904000.0,Ant-v2 2x4d
0,996.2920519884876,12.477038337526727,MAPPO_FULL,4000.0,Ant-v2 2x4d
1,988.0956126293692,262.0038978907784,MAPPO_FULL,104000.0,Ant-v2 2x4d
2,927.7174848597606,200.47404950029502,MAPPO_FULL,204000.0,Ant-v2 2x4d
3,934.672070926551,209.8156289684094,MAPPO_FULL,304000.0,Ant-v2 2x4d
4,927.7319537749103,348.09331323212297,MAPPO_FULL,404000.0,Ant-v2 2x4d
5,927.6444765378359,400.1496939607768,MAPPO_FULL,504000.0,Ant-v2 2x4d
6,897.6519076075217,352.72341270402126,MAPPO_FULL,604000.0,Ant-v2 2x4d
7,847.4341975544406,278.45387801465307,MAPPO_FULL,704000.0,Ant-v2 2x4d
8,836.6798193668819,483.5298992105462,MAPPO_FULL,804000.0,Ant-v2 2x4d
9,906.6083781475675,424.7130553092341,MAPPO_FULL,904000.0,Ant-v2 2x4d
10,1361.6583199153097,481.86362788582665,MAPPO_FULL,1004000.0,Ant-v2 2x4d
11,771.3410437764252,520.9898470390682,MAPPO_FULL,1104000.0,Ant-v2 2x4d
12,815.6583952333274,531.6587938388699,MAPPO_FULL,1204000.0,Ant-v2 2x4d
13,967.8539199866973,283.0169888364357,MAPPO_FULL,1304000.0,Ant-v2 2x4d
14,1602.916577311305,843.4461871696088,MAPPO_FULL,1404000.0,Ant-v2 2x4d
15,2191.8115838014346,554.1737527693505,MAPPO_FULL,1504000.0,Ant-v2 2x4d
16,1946.7839403313671,408.90474199570946,MAPPO_FULL,1604000.0,Ant-v2 2x4d
17,2128.8804240328973,627.2393906076016,MAPPO_FULL,1704000.0,Ant-v2 2x4d
18,1654.1936553255357,784.5776026746229,MAPPO_FULL,1804000.0,Ant-v2 2x4d
19,724.2733217472554,864.0971052344738,MAPPO_FULL,1904000.0,Ant-v2 2x4d
20,2538.387633873682,1296.1042283993925,MAPPO_FULL,2004000.0,Ant-v2 2x4d
21,2158.717996491112,742.7498936572632,MAPPO_FULL,2104000.0,Ant-v2 2x4d
22,2093.560544665069,1518.4172557972188,MAPPO_FULL,2204000.0,Ant-v2 2x4d
23,2666.564430835178,1243.152251946674,MAPPO_FULL,2304000.0,Ant-v2 2x4d
24,2593.9141766567163,1505.455668585485,MAPPO_FULL,2404000.0,Ant-v2 2x4d
25,2799.149830981478,1844.618284664885,MAPPO_FULL,2504000.0,Ant-v2 2x4d
26,2759.177244319931,1783.5261344814091,MAPPO_FULL,2604000.0,Ant-v2 2x4d
27,2598.3379970437127,1140.4222122347874,MAPPO_FULL,2704000.0,Ant-v2 2x4d
28,2693.8429564669514,1277.8876635961633,MAPPO_FULL,2804000.0,Ant-v2 2x4d
29,3129.8436338600413,1146.1638340615534,MAPPO_FULL,2904000.0,Ant-v2 2x4d
30,3036.5981387327183,1378.9917105337256,MAPPO_FULL,3004000.0,Ant-v2 2x4d
31,3284.5938956807013,1581.2476727985227,MAPPO_FULL,3104000.0,Ant-v2 2x4d
32,3356.026912691789,161.41956965938195,MAPPO_FULL,3204000.0,Ant-v2 2x4d
33,3460.7222853323183,2173.7368557599316,MAPPO_FULL,3304000.0,Ant-v2 2x4d
34,3043.8972148544685,1689.3108102134283,MAPPO_FULL,3404000.0,Ant-v2 2x4d
35,2820.592787280822,2230.4590625443548,MAPPO_FULL,3504000.0,Ant-v2 2x4d
36,3400.8086009670346,1730.413465104175,MAPPO_FULL,3604000.0,Ant-v2 2x4d
37,3253.0040787956423,1577.275149560776,MAPPO_FULL,3704000.0,Ant-v2 2x4d
38,2795.7316682065984,2303.4440119884403,MAPPO_FULL,3804000.0,Ant-v2 2x4d
39,3148.3200044279693,1773.1408215209804,MAPPO_FULL,3904000.0,Ant-v2 2x4d
40,3470.9820071032104,1502.4803201389616,MAPPO_FULL,4004000.0,Ant-v2 2x4d
41,3529.4360263926756,1237.0266649787504,MAPPO_FULL,4104000.0,Ant-v2 2x4d
42,3122.817896995396,2541.4885720794655,MAPPO_FULL,4204000.0,Ant-v2 2x4d
43,3253.5579012460707,1736.0827879651483,MAPPO_FULL,4304000.0,Ant-v2 2x4d
44,3710.9996493159815,1843.4579202238401,MAPPO_FULL,4404000.0,Ant-v2 2x4d
45,3732.686529876315,1902.77022929678,MAPPO_FULL,4504000.0,Ant-v2 2x4d
46,3770.020872546721,2332.996678520176,MAPPO_FULL,4604000.0,Ant-v2 2x4d
47,3853.151868568623,2688.520248124916,MAPPO_FULL,4704000.0,Ant-v2 2x4d
48,3737.9117043964397,2700.749450068906,MAPPO_FULL,4804000.0,Ant-v2 2x4d
49,3725.28627429783,2122.708472612866,MAPPO_FULL,4904000.0,Ant-v2 2x4d
50,3766.906691399682,2337.608121403901,MAPPO_FULL,5004000.0,Ant-v2 2x4d
51,4133.518878151405,2403.3493244702095,MAPPO_FULL,5104000.0,Ant-v2 2x4d
52,3576.28175641407,2980.165992330678,MAPPO_FULL,5204000.0,Ant-v2 2x4d
53,4109.084965041104,2099.1792298164924,MAPPO_FULL,5304000.0,Ant-v2 2x4d
54,4312.932147024418,1223.536611390884,MAPPO_FULL,5404000.0,Ant-v2 2x4d
55,4544.406615495643,2850.060303781744,MAPPO_FULL,5504000.0,Ant-v2 2x4d
56,4227.866131921733,2625.675610560668,MAPPO_FULL,5604000.0,Ant-v2 2x4d
57,4183.817085891974,2961.1610732378576,MAPPO_FULL,5704000.0,Ant-v2 2x4d
58,4204.088062024217,2990.012283583072,MAPPO_FULL,5804000.0,Ant-v2 2x4d
59,4221.657910546301,2985.092045583251,MAPPO_FULL,5904000.0,Ant-v2 2x4d
60,4352.083412607085,3623.6243105329595,MAPPO_FULL,6004000.0,Ant-v2 2x4d
61,4701.620937454073,2436.7770064252427,MAPPO_FULL,6104000.0,Ant-v2 2x4d
62,4499.208382825165,3187.7757739222643,MAPPO_FULL,6204000.0,Ant-v2 2x4d
63,4601.063368172567,2986.860859194937,MAPPO_FULL,6304000.0,Ant-v2 2x4d
64,4501.798296339226,3016.803578981547,MAPPO_FULL,6404000.0,Ant-v2 2x4d
65,3905.038172952382,3557.47340840217,MAPPO_FULL,6504000.0,Ant-v2 2x4d
66,4587.91804379439,2515.4550962965604,MAPPO_FULL,6604000.0,Ant-v2 2x4d
67,4636.298416639338,3449.815273652907,MAPPO_FULL,6704000.0,Ant-v2 2x4d
68,4615.289776152369,3675.8046788593288,MAPPO_FULL,6804000.0,Ant-v2 2x4d
69,4152.563050239207,3802.3939957945367,MAPPO_FULL,6904000.0,Ant-v2 2x4d
70,4696.0963954123745,2879.8966663325573,MAPPO_FULL,7004000.0,Ant-v2 2x4d
71,4610.885944255848,3544.8548988984526,MAPPO_FULL,7104000.0,Ant-v2 2x4d
72,4037.5298607291493,3847.5705321273267,MAPPO_FULL,7204000.0,Ant-v2 2x4d
73,4941.730408605827,3985.513996988475,MAPPO_FULL,7304000.0,Ant-v2 2x4d
74,4844.495052757118,2803.667868093111,MAPPO_FULL,7404000.0,Ant-v2 2x4d
75,4896.357019658566,3356.3640815013036,MAPPO_FULL,7504000.0,Ant-v2 2x4d
76,4750.870670360043,2749.8515773418853,MAPPO_FULL,7604000.0,Ant-v2 2x4d
77,4801.500034919472,3928.19705890912,MAPPO_FULL,7704000.0,Ant-v2 2x4d
78,4741.657647479564,3919.0874304129306,MAPPO_FULL,7804000.0,Ant-v2 2x4d
79,3829.1808711576873,3993.0072222910476,MAPPO_FULL,7904000.0,Ant-v2 2x4d
80,4996.2605899220625,4030.0581561976733,MAPPO_FULL,8004000.0,Ant-v2 2x4d
81,4965.098511968063,2859.708206013499,MAPPO_FULL,8104000.0,Ant-v2 2x4d
82,4886.382383129219,4277.680664189219,MAPPO_FULL,8204000.0,Ant-v2 2x4d
83,4871.255774638777,3399.57629043916,MAPPO_FULL,8304000.0,Ant-v2 2x4d
84,4618.150115994826,2656.5842467521834,MAPPO_FULL,8404000.0,Ant-v2 2x4d
85,4761.072435700544,3607.9199951778073,MAPPO_FULL,8504000.0,Ant-v2 2x4d
86,4633.293906052798,4024.384648216232,MAPPO_FULL,8604000.0,Ant-v2 2x4d
87,4844.570250046605,4108.293314646587,MAPPO_FULL,8704000.0,Ant-v2 2x4d
88,4806.171114676155,2645.98848882885,MAPPO_FULL,8804000.0,Ant-v2 2x4d
89,5076.5086336273935,3843.812541294001,MAPPO_FULL,8904000.0,Ant-v2 2x4d
90,4950.946940551339,4275.104896636412,MAPPO_FULL,9004000.0,Ant-v2 2x4d
91,4754.701217224362,4095.6578100297365,MAPPO_FULL,9104000.0,Ant-v2 2x4d
92,4807.550011004134,3311.0219001490705,MAPPO_FULL,9204000.0,Ant-v2 2x4d
93,4847.386492381588,4156.94956561196,MAPPO_FULL,9304000.0,Ant-v2 2x4d
94,4807.628968796847,3815.059501889857,MAPPO_FULL,9404000.0,Ant-v2 2x4d
95,4571.366975689774,2998.851881165607,MAPPO_FULL,9504000.0,Ant-v2 2x4d
96,4777.948893275272,3843.1876709718167,MAPPO_FULL,9604000.0,Ant-v2 2x4d
97,4915.377841107169,3704.3427305021983,MAPPO_FULL,9704000.0,Ant-v2 2x4d
98,5044.071063624708,4266.018780436189,MAPPO_FULL,9804000.0,Ant-v2 2x4d
99,4620.715877240125,3784.9527307031503,MAPPO_FULL,9904000.0,Ant-v2 2x4d
