,eval_average_episode_rewards,train_episode_rewards,algo,step,scenario
0,998.2162318151297,24.645516896700386,MAPPO_FULL,4000.0,Ant-v2 8x1
1,939.0972473406761,273.7612833343388,MAPPO_FULL,104000.0,Ant-v2 8x1
2,988.64448582207,375.3961780184367,MAPPO_FULL,204000.0,Ant-v2 8x1
3,954.8641818999579,175.85023804703545,MAPPO_FULL,304000.0,Ant-v2 8x1
4,925.3143029089263,155.42115380587276,MAPPO_FULL,404000.0,Ant-v2 8x1
5,965.986379197203,212.26781306302246,MAPPO_FULL,504000.0,Ant-v2 8x1
6,923.8303629520627,324.8661756910895,MAPPO_FULL,604000.0,Ant-v2 8x1
7,936.4031155366669,399.49345214689436,MAPPO_FULL,704000.0,Ant-v2 8x1
8,874.1638304170707,399.27082704552424,MAPPO_FULL,804000.0,Ant-v2 8x1
9,906.0952338698244,220.28993061801125,MAPPO_FULL,904000.0,Ant-v2 8x1
10,880.5467653226781,297.15477499350555,MAPPO_FULL,1004000.0,Ant-v2 8x1
11,820.5846193955225,441.82029106696376,MAPPO_FULL,1104000.0,Ant-v2 8x1
12,1006.7399221988944,403.5459155817511,MAPPO_FULL,1204000.0,Ant-v2 8x1
13,850.8826871142516,405.895933615011,MAPPO_FULL,1304000.0,Ant-v2 8x1
14,856.0635823841433,688.5957698503319,MAPPO_FULL,1404000.0,Ant-v2 8x1
15,1103.0687446748457,482.80248761616065,MAPPO_FULL,1504000.0,Ant-v2 8x1
16,923.3172626049984,692.3456533166105,MAPPO_FULL,1604000.0,Ant-v2 8x1
17,964.9726211227019,727.5760281919743,MAPPO_FULL,1704000.0,Ant-v2 8x1
18,816.0042482906567,521.6546981533294,MAPPO_FULL,1804000.0,Ant-v2 8x1
19,1750.380921746871,476.7991320166594,MAPPO_FULL,1904000.0,Ant-v2 8x1
20,2406.7794662977076,936.0382625818088,MAPPO_FULL,2004000.0,Ant-v2 8x1
21,1968.894492567872,1056.7063269850012,MAPPO_FULL,2104000.0,Ant-v2 8x1
22,2193.150751393193,894.9761809799538,MAPPO_FULL,2204000.0,Ant-v2 8x1
23,2599.5743512249487,1187.6531676943578,MAPPO_FULL,2304000.0,Ant-v2 8x1
24,2652.982786114049,1151.0428733314718,MAPPO_FULL,2404000.0,Ant-v2 8x1
25,2928.399632130426,1098.9034879100489,MAPPO_FULL,2504000.0,Ant-v2 8x1
